position,source,task_id,system,slot_status,effective_run_id,attempt_ordinal,candidate_count,replacement_for_run_id,run_validity,artifact_gate_status,terminal_status,verify_status,primary_failure_category,timeout,termination_reason,deadline_s,run_duration_s,agent_duration_s,evaluator_duration_s,model_requests_forwarded,model_requests_failed,model_usage_complete_events,input_tokens,output_tokens,cache_read_tokens,total_tokens,tool_calls_started,tool_calls_terminal,tool_calls_failed,claim_done_seen,run_directory
1,m1_reuse,find-alita-paper,astra,complete,20260807T030709Z-find-alita-paper-astra-a1,1,1,,valid,passed,completed,pass,none,false,product_exit,1800,606.675136,560.028983,7.652259,19,0,19,207836,15420,153088,223256,14,14,3,false,astra/results/toolathlon-minimal-e2e-tool-events-v10/astra/find-alita-paper/20260807T030709Z-find-alita-paper-astra-a1
1,m1_reuse,find-alita-paper,hermes,complete,20260807T030709Z-find-alita-paper-hermes-a1,1,1,,valid,passed,completed,pass,none,false,product_exit,1800,383.562765,353.053789,7.725519,9,0,9,218498,3459,188800,221957,11,11,0,false,astra/results/toolathlon-minimal-e2e-tool-events-v10/hermes/find-alita-paper/20260807T030709Z-find-alita-paper-hermes-a1
2,m2_run,set-conf-cr-ddl,astra,complete,m2-20260807T033446Z-02-set-conf-cr-ddl-astra-a1,1,1,,valid,passed,completed,pass,none,false,product_exit,1800,179.867807,126.707573,11.749077,11,0,11,110368,14343,65280,124711,7,7,0,false,astra/results/toolathlon-m2-first-batch-v4/runs/astra/set-conf-cr-ddl/m2-20260807T033446Z-02-set-conf-cr-ddl-astra-a1
2,m2_run,set-conf-cr-ddl,hermes,complete,m2-20260807T033446Z-02-set-conf-cr-ddl-hermes-a1,1,1,,valid,passed,completed,pass,none,false,product_exit,1800,129.579886,94.560853,11.997137,7,0,7,269285,6886,221184,276171,15,15,0,false,astra/results/toolathlon-m2-first-batch-v4/runs/hermes/set-conf-cr-ddl/m2-20260807T033446Z-02-set-conf-cr-ddl-hermes-a1
3,m2_run,course-schedule,astra,complete,m2-20260807T033446Z-03-course-schedule-astra-a1,1,1,,valid,passed,completed,pass,none,false,product_exit,2700,225.691526,198.996276,6.063189,18,0,18,300196,20446,214272,320642,14,14,0,false,astra/results/toolathlon-m2-first-batch-v4/runs/astra/course-schedule/m2-20260807T033446Z-03-course-schedule-astra-a1
3,m2_run,course-schedule,hermes,complete,m2-20260807T033446Z-03-course-schedule-hermes-a1,1,1,,valid,passed,completed,no_pass,completed_but_no_pass,false,product_exit,2700,138.767454,110.823332,6.448416,8,0,8,281476,10626,236544,292102,11,11,0,true,astra/results/toolathlon-m2-first-batch-v4/runs/hermes/course-schedule/m2-20260807T033446Z-03-course-schedule-hermes-a1
4,m2_run,canvas-homework-grader-python,astra,complete,m2-20260807T033446Z-04-canvas-homework-grader-python-astra-a1,1,1,,valid,passed,completed,pass,none,false,product_exit,5400,429.74127,395.521653,6.058495,37,1,36,739079,34106,641024,773185,40,40,0,false,astra/results/toolathlon-m2-first-batch-v4/runs/astra/canvas-homework-grader-python/m2-20260807T033446Z-04-canvas-homework-grader-python-astra-a1
4,m2_run,canvas-homework-grader-python,hermes,complete,m2-20260807T033446Z-04-canvas-homework-grader-python-hermes-a1,1,1,,valid,passed,completed,pass,none,false,product_exit,5400,247.943812,159.066673,5.825818,18,0,18,1029261,11930,881280,1041191,42,42,0,false,astra/results/toolathlon-m2-first-batch-v4/runs/hermes/canvas-homework-grader-python/m2-20260807T033446Z-04-canvas-homework-grader-python-hermes-a1
5,m2_run,arrange-workspace,astra,complete,m2-20260807T033446Z-05-arrange-workspace-astra-a1,1,1,,valid,passed,completed,no_pass,completed_but_no_pass,false,product_exit,5400,108.170562,70.055519,6.763405,7,0,7,67608,9005,31872,76613,3,3,0,false,astra/results/toolathlon-m2-first-batch-v4/runs/astra/arrange-workspace/m2-20260807T033446Z-05-arrange-workspace-astra-a1
5,m2_run,arrange-workspace,hermes,complete,m2-20260807T033446Z-05-arrange-workspace-hermes-a1,1,1,,valid,passed,completed,no_pass,completed_but_no_pass,false,product_exit,5400,86.886788,57.573798,6.849327,6,0,6,166925,4999,136704,171924,7,7,0,false,astra/results/toolathlon-m2-first-batch-v4/runs/hermes/arrange-workspace/m2-20260807T033446Z-05-arrange-workspace-hermes-a1
