position,task_id,system,verify_status,run_validity,terminal_status,failure_category,run_id,source,agent_seconds,claim_done_seen,e2e_seconds,evaluator_seconds,finished_at,internal_nonstream_requests,internal_nonstream_requests_completed,internal_nonstream_token_input,internal_nonstream_token_output,internal_nonstream_token_total,internal_nonstream_usage_reported_completed,model_request_limit,model_request_limit_exceeded,model_requests_completed,model_requests_failed,model_requests_started,non_stream_requests,normal_e2e_success,orchestration_seconds,retained_requests_completed_excluding_internal_nonstream,retained_requests_excluding_internal_nonstream,retained_usage_missing_completed_excluding_internal_nonstream,retained_usage_reported_completed_excluding_internal_nonstream,run_directory,started_at,started_only_tool_calls,stream_requests,supplements_run_id,timeout,timeout_scope,token_excluding_internal_nonstream_input,token_excluding_internal_nonstream_note,token_excluding_internal_nonstream_output,token_excluding_internal_nonstream_reliable,token_excluding_internal_nonstream_total,token_input,token_note,token_output,token_reliable,token_total,token_usage_missing_completed,token_usage_reported_completed,tool_calls,tool_failures
1,find-alita-paper,astra,pass,valid,completed,none,20260807T030709Z-find-alita-paper-astra-a1,m2_qualification,560.0289834529976,False,606.675136,7.652259269001661,2026-08-07T03:17:39.353428+00:00,10,10,11898,11161,23059,10,100,False,19,0,19,10,True,38.993893278000655,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-minimal-e2e-tool-events-v10/astra/find-alita-paper/20260807T030709Z-find-alita-paper-astra-a1,2026-08-07T03:07:32.678292+00:00,0,9,,False,none,195938,all_retained_completed_responses_reported,4259,True,200197,207836,all_completed_responses_reported,15420,True,223256,0,19,14,3
1,find-alita-paper,hermes,pass,valid,completed,none,20260807T030709Z-find-alita-paper-hermes-a1,m2_qualification,353.0537889089901,False,383.562765,7.725519366998924,2026-08-07T03:24:26.807377+00:00,0,0,,,,0,100,False,9,0,9,0,True,22.78345672401099,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-minimal-e2e-tool-events-v10/hermes/find-alita-paper/20260807T030709Z-find-alita-paper-hermes-a1,2026-08-07T03:18:03.244612+00:00,0,9,,False,none,218498,all_retained_completed_responses_reported,3459,True,221957,218498,all_completed_responses_reported,3459,True,221957,0,9,11,0
2,set-conf-cr-ddl,astra,pass,valid,completed,none,m2-20260807T033446Z-02-set-conf-cr-ddl-astra-a1,m2_qualification,126.707573281019,False,179.867807,11.749077121989103,2026-08-07T03:41:14.128703+00:00,6,6,6491,10181,16672,6,100,False,11,0,11,6,True,41.4111565969919,5,5,0,5,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/set-conf-cr-ddl/m2-20260807T033446Z-02-set-conf-cr-ddl-astra-a1,2026-08-07T03:38:14.260896+00:00,0,5,,False,none,103877,all_retained_completed_responses_reported,4162,True,108039,110368,all_completed_responses_reported,14343,True,124711,0,11,7,0
2,set-conf-cr-ddl,hermes,pass,valid,completed,none,m2-20260807T033446Z-02-set-conf-cr-ddl-hermes-a1,m2_qualification,94.56085258201347,False,129.579886,11.997136605990818,2026-08-07T03:37:35.812367+00:00,0,0,,,,0,100,False,7,0,7,0,True,23.021896811995703,7,7,0,7,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/set-conf-cr-ddl/m2-20260807T033446Z-02-set-conf-cr-ddl-hermes-a1,2026-08-07T03:35:26.232481+00:00,0,7,,False,none,269285,all_retained_completed_responses_reported,6886,True,276171,269285,all_completed_responses_reported,6886,True,276171,0,7,15,0
3,course-schedule,astra,pass,valid,completed,none,m2-20260807T033446Z-03-course-schedule-astra-a1,m2_qualification,198.99627604702255,False,225.691526,6.063189383014105,2026-08-07T03:45:23.004892+00:00,9,9,11844,9978,21822,9,100,False,18,0,18,9,True,20.632060569963357,9,9,0,9,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/course-schedule/m2-20260807T033446Z-03-course-schedule-astra-a1,2026-08-07T03:41:37.313366+00:00,0,9,,False,none,288352,all_retained_completed_responses_reported,10468,True,298820,300196,all_completed_responses_reported,20446,True,320642,0,18,14,0
3,course-schedule,hermes,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-03-course-schedule-hermes-a1,m2_qualification,110.82333226301125,True,138.767454,6.448415638005827,2026-08-07T03:48:05.455943+00:00,0,0,,,,0,100,False,8,0,8,0,False,21.495706098982907,8,8,0,8,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/course-schedule/m2-20260807T033446Z-03-course-schedule-hermes-a1,2026-08-07T03:45:46.688489+00:00,0,8,,False,none,281476,all_retained_completed_responses_reported,10626,True,292102,281476,all_completed_responses_reported,10626,True,292102,0,8,11,0
4,canvas-homework-grader-python,astra,pass,valid,completed,none,m2-20260807T033446Z-04-canvas-homework-grader-python-astra-a1,m2_qualification,395.52165305102244,False,429.74127,6.058495241013588,2026-08-07T04:01:37.358767+00:00,19,19,22753,22185,44938,19,100,False,37,1,37,19,True,28.161121707963957,18,18,1,17,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/canvas-homework-grader-python/m2-20260807T033446Z-04-canvas-homework-grader-python-astra-a1,2026-08-07T03:54:27.617497+00:00,0,18,,False,none,716326,partial_or_missing_retained_provider_usage,11921,False,728247,739079,partial_or_missing_provider_usage,34106,False,773185,1,36,40,0
4,canvas-homework-grader-python,hermes,pass,valid,completed,none,m2-20260807T033446Z-04-canvas-homework-grader-python-hermes-a1,m2_qualification,159.06667271797778,False,247.943812,5.8258177370007616,2026-08-07T03:53:22.529822+00:00,0,0,,,,0,100,False,18,0,18,0,True,83.05132154502147,18,18,0,18,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/canvas-homework-grader-python/m2-20260807T033446Z-04-canvas-homework-grader-python-hermes-a1,2026-08-07T03:49:14.586010+00:00,0,18,,False,none,1029261,all_retained_completed_responses_reported,11930,True,1041191,1029261,all_completed_responses_reported,11930,True,1041191,0,18,42,0
5,arrange-workspace,astra,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-05-arrange-workspace-astra-a1,m2_qualification,70.05551913799718,False,108.170562,6.7634049719781615,2026-08-07T06:23:50.842333+00:00,4,4,4815,3221,8036,4,100,False,7,0,7,4,False,31.351637890024662,3,3,0,3,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/astra/arrange-workspace/m2-20260807T033446Z-05-arrange-workspace-astra-a1,2026-08-07T06:22:02.671771+00:00,0,3,,False,none,62793,all_retained_completed_responses_reported,5784,True,68577,67608,all_completed_responses_reported,9005,True,76613,0,7,3,0
5,arrange-workspace,hermes,no_pass,valid,completed,completed_but_no_pass,m2-20260807T033446Z-05-arrange-workspace-hermes-a1,m2_qualification,57.573797509016,False,86.886788,6.849326598021435,2026-08-07T06:25:43.368105+00:00,0,0,,,,0,100,False,6,0,6,0,False,22.463663892962558,6,6,0,6,/home/vagrant/moi-benchmark/astra/results/toolathlon-m2-first-batch-v4/runs/hermes/arrange-workspace/m2-20260807T033446Z-05-arrange-workspace-hermes-a1,2026-08-07T06:24:16.481317+00:00,0,6,,False,none,166925,all_retained_completed_responses_reported,4999,True,171924,166925,all_completed_responses_reported,4999,True,171924,0,6,7,0
