task_id,attempt_index_for_task,attempt_count_for_task,source_root,run_dir,trial_name,trial_path,started_at,finished_at,batch_timestamp,latest_sort_key,reward,verify_status,selected_latest,selection_status,selected_trial_path_for_task
adaptive-rejection-sampler,1,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,adaptive-rejection-sampler__MC6zmSP,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/adaptive-rejection-sampler__MC6zmSP,2026-07-30T03:27:10.417766Z,2026-07-30T03:36:38.893916Z,2026-07-29__19-36-33,"[1785353793.0,1785382030.417766,1785382598.893916,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/adaptive-rejection-sampler__MC6zmSP/result.json""]",0,no_pass,False,superseded_by_later_attempt,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5
adaptive-rejection-sampler,2,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-07-31__16-47-36,adaptive-rejection-sampler__zWvbxZ5,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5,2026-07-31T08:47:37.024402Z,2026-07-31T09:23:24.017794Z,2026-07-31__16-47-36,"[1785516456.0,1785487657.024402,1785489804.017794,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-47-36/adaptive-rejection-sampler__zWvbxZ5
bn-fit-modify,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,bn-fit-modify__JvHn3xU,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/bn-fit-modify__JvHn3xU,2026-07-30T06:49:39.622947Z,2026-07-30T06:59:47.190235Z,2026-07-29__19-36-33,"[1785353793.0,1785394179.622947,1785394787.190235,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/bn-fit-modify__JvHn3xU/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/bn-fit-modify__JvHn3xU
break-filter-js-from-html,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,break-filter-js-from-html__pcDUN5g,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/break-filter-js-from-html__pcDUN5g,2026-07-29T16:14:25.594196Z,2026-07-29T16:21:13.719657Z,2026-07-29__19-36-33,"[1785353793.0,1785341665.594196,1785342073.719657,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/break-filter-js-from-html__pcDUN5g/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/break-filter-js-from-html__pcDUN5g
build-cython-ext,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,build-cython-ext__3aBh2uV,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-cython-ext__3aBh2uV,2026-07-30T10:15:52.741725Z,2026-07-30T10:34:51.545883Z,2026-07-29__19-36-33,"[1785353793.0,1785406552.741725,1785407691.545883,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-cython-ext__3aBh2uV/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-cython-ext__3aBh2uV
build-pmars,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,build-pmars__FWjWrmH,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-pmars__FWjWrmH,2026-07-30T08:04:52.787967Z,2026-07-30T08:30:09.328998Z,2026-07-29__19-36-33,"[1785353793.0,1785398692.787967,1785400209.328998,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-pmars__FWjWrmH/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-pmars__FWjWrmH
build-pov-ray,1,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,build-pov-ray__mNkofzU,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-pov-ray__mNkofzU,2026-07-30T08:30:41.377681Z,2026-07-30T08:30:47.361917Z,2026-07-29__19-36-33,"[1785353793.0,1785400241.377681,1785400247.361917,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-pov-ray__mNkofzU/result.json""]",,missing,False,superseded_by_later_attempt,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-04-29/build-pov-ray__92VcxjZ
build-pov-ray,2,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs,2026-07-31__16-04-29,build-pov-ray__92VcxjZ,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-04-29/build-pov-ray__92VcxjZ,2026-07-31T08:04:30.260785Z,2026-07-31T08:31:13.987135Z,2026-07-31__16-04-29,"[1785513869.0,1785485070.260785,1785486673.987135,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-04-29/build-pov-ray__92VcxjZ/result.json""]",0,no_pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-07-31__16-04-29/build-pov-ray__92VcxjZ
caffe-cifar-10,1,1,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,caffe-cifar-10__LEZu2cC,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/caffe-cifar-10__LEZu2cC,2026-07-30T11:33:04.265755Z,2026-07-30T12:43:07.694409Z,2026-07-29__19-36-33,"[1785353793.0,1785411184.265755,1785415387.694409,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/caffe-cifar-10__LEZu2cC/result.json""]",1,pass,True,selected_included,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/caffe-cifar-10__LEZu2cC
cancel-async-tasks,1,2,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs,2026-07-29__19-36-33,cancel-async-tasks__pxSVYRg,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/cancel-async-tasks__pxSVYRg,2026-07-29T16:28:32.522314Z,2026-07-29T16:28:38.281655Z,2026-07-29__19-36-33,"[1785353793.0,1785342512.522314,1785342518.281655,""/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/cancel-async-tasks__pxSVYRg/result.json""]",,missing,False,superseded_by_later_attempt,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-rerun-from-scratch-33/jobs/2026-08-03__00-05-42/cancel-async-tasks__4fjo42J
