task_id,run_dir,trial_name,trial_path,reward,scored,strict_e2e_success,exception,exception_type,started_at,finished_at,e2e_s,environment_setup_s,agent_setup_s,agent_execution_s,verifier_s,product_terminal_status,product_return_code,product_completion_claim,product_error_type,product_final_status,cleanup_zero_live_proven,trigger_hit,trigger_reason,lifecycle_gate_passed,formal_score_eligible,run_status,run_error,run_duration_s,session_present,api_calls,session_tool_calls,tool_calls,tool_calls_failed,tool_call_failure_rate,tool_duration_s,tool_breakdown,failed_tool_breakdown,fresh_input_tokens,cache_tokens,cache_write_tokens,input_tokens,output_tokens,reasoning_tokens,total_tokens,cache_share,cost_status,actual_cost_usd,outcome_category,failure_reason,recommended_action,verifier_tests,verifier_passed,verifier_failed,verifier_skipped,failed_test_names
adaptive-rejection-sampler,2026-07-30__12-02-21,adaptive-rejection-sampler__RUDgwZK,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__12-02-21/adaptive-rejection-sampler__RUDgwZK,0,True,False,False,,2026-07-30T04:02:22.484282Z,2026-07-30T05:35:24.969610Z,5582.485328,1.691765,5.343751,5506.444403,56.606537,failed,2,False,,failed,True,False,product_exited_before_noop,False,False,failed,"Provider has been unresponsive (no response received) for 5 consecutive stale attempts — aborting this call to avoid an indefinite stall. Switch models or start a new session, then retry.",5337.625848293304,True,0,0,0,0,0.0,0,{},{},0,0,0,0,0,0,0,,,,llm_provider_unresponsive,Provider 连续 5 次 stale attempt 无响应，Hermes 主动终止；ars.R 等交付物未生成,LLM/provider 恢复后完整重跑,9,0,9,0,test_outputs.py::test_ars_function_exists; test_outputs.py::test_can_generate_standard_distribution_samples; test_outputs.py::test_has_test_function; test_outputs.py::test_formal_testing_with_known_truth; test_outputs.py::test_sample_files_generated; test_outputs.py::test_implementation_is_modular; test_outputs.py::test_implementation_handles_errors; test_outputs.py::test_input_validation_functionality; test_outputs.py::test_log_concavity_functionality
break-filter-js-from-html,2026-07-30__13-38-01,break-filter-js-from-html__MhrC9uW,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__13-38-01/break-filter-js-from-html__MhrC9uW,1,True,True,False,,2026-07-30T05:38:02.751761Z,2026-07-30T05:49:31.341920Z,688.590159,1.50288,14.125622,639.108818,21.532929,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,635.8575479984283,True,15,17,17,4,0.23529411764705882,41.121,"{""execute_code"": 2, ""read_file"": 2, ""terminal"": 12, ""write_file"": 1}","{""execute_code"": 2, ""terminal"": 2}",19266,270336,0,289602,45809,42694,335411,0.933474216338285,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,1,1,0,0,
build-pmars,2026-07-30__13-52-02,build-pmars__d5SRCdf,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__13-52-02/build-pmars__d5SRCdf,1,True,True,False,,2026-07-30T05:52:03.549039Z,2026-07-30T05:57:32.248369Z,328.69933,1.417994,4.96359,295.397617,14.554536,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,292.74466705322266,True,41,38,38,2,0.05263157894736842,55.098000000000006,"{""patch"": 1, ""read_file"": 2, ""terminal"": 29, ""todo"": 4, ""write_file"": 2}","{""terminal"": 2}",19556,993344,0,1012900,4845,688,1017745,0.9806930595320368,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,4,4,0,0,
bn-fit-modify,2026-07-30__14-15-09,bn-fit-modify__6YxAGqr,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__14-15-09/bn-fit-modify__6YxAGqr,1,True,True,False,,2026-07-30T06:15:10.201385Z,2026-07-30T06:21:01.530569Z,351.329184,2.174727,5.779573,292.472715,37.060617,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,288.9368541240692,True,13,12,12,3,0.25,101.282,"{""execute_code"": 1, ""read_file"": 1, ""terminal"": 10}","{""execute_code"": 1, ""terminal"": 2}",23577,231808,0,255385,5411,1163,260796,0.9076805607220471,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,9,9,0,0,
build-cython-ext,2026-07-30__14-23-53,build-cython-ext__6BZKneV,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__14-23-53/build-cython-ext__6BZKneV,1,True,True,False,,2026-07-30T06:23:54.252865Z,2026-07-30T06:47:01.026197Z,1386.773332,1.7866,6.787053,1355.746645,8.3938,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,1351.8101344108582,True,80,132,132,10,0.07575757575757576,508.853,"{""execute_code"": 1, ""patch"": 27, ""read_file"": 36, ""search_files"": 23, ""terminal"": 35, ""todo"": 8, ""write_file"": 2}","{""execute_code"": 1, ""search_files"": 1, ""terminal"": 8}",206090,3839360,0,4045450,18195,4836,4063645,0.9490563472543228,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,11,11,0,0,
chess-best-move,2026-07-30__15-02-59,chess-best-move__oL3Bfm6,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__15-02-59/chess-best-move__oL3Bfm6,1,True,True,False,,2026-07-30T07:03:00.548918Z,2026-07-30T07:18:13.625940Z,913.077022,2.267556,8.357412,855.440141,33.778238,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,850.1946978569031,True,15,14,14,1,0.07142857142857142,258.662,"{""execute_code"": 1, ""terminal"": 5, ""vision_analyze"": 7, ""write_file"": 1}","{""execute_code"": 1}",45612,253888,0,299500,21337,17125,320837,0.8477061769616027,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,1,1,0,0,
cobol-modernization,2026-07-30__15-21-33,cobol-modernization__WBMseXk,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__15-21-33/cobol-modernization__WBMseXk,1,True,True,False,,2026-07-30T07:21:34.261244Z,2026-07-30T07:39:29.776821Z,1075.515577,2.22096,6.716694,1039.270567,13.880389,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,1034.7211673259735,True,54,58,58,6,0.10344827586206896,109.01299999999999,"{""patch"": 3, ""read_file"": 4, ""search_files"": 1, ""terminal"": 49, ""write_file"": 1}","{""read_file"": 1, ""terminal"": 5}",85079,1459648,0,1544727,28783,17622,1573510,0.9449229540235913,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,3,3,0,0,
code-from-image,2026-07-30__15-42-47,code-from-image__FSsBtAW,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__15-42-47/code-from-image__FSsBtAW,1,True,True,False,,2026-07-30T07:42:47.939657Z,2026-07-30T07:45:45.194414Z,177.254757,2.246257,6.529455,142.097405,13.030702,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,137.4888632297516,True,5,4,4,1,0.25,56.672,"{""execute_code"": 1, ""read_file"": 1, ""terminal"": 1, ""vision_analyze"": 1}","{""execute_code"": 1}",17078,64960,0,82038,1043,440,83081,0.791828177186182,unknown,,clean_verifier_pass,功能通过且 Agent 正常完成,保留结果,2,2,0,0,
winning-avg-corewars,2026-07-30__16-10-28,winning-avg-corewars__8cG97ch,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__16-10-28/winning-avg-corewars__8cG97ch,0,True,False,False,,2026-07-30T08:10:30.266916Z,2026-07-30T08:21:56.771351Z,686.504435,1.768502,5.732359,649.938495,15.347343,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,646.4136147499084,True,90,107,107,0,0.0,51.96199999999999,"{""read_file"": 5, ""search_files"": 1, ""terminal"": 101}",{},31239,2134016,0,2165255,4193,65,2169448,0.985572599993996,unknown,,task_requirement_failure,Verifier 1/3；my_warrior.red 缺失，性能测试失败,保留任务零分,3,1,2,0,test_outputs.py::test_warrior_exists; test_outputs.py::test_warrior_performance
build-pov-ray,2026-07-30__16-55-07,build-pov-ray__XX7Q3Gy,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__16-55-07/build-pov-ray__XX7Q3Gy,0,True,False,False,,2026-07-30T08:55:08.156424Z,2026-07-30T09:34:25.890827Z,2357.734403,1.176961,13.566057,2292.506948,36.783792,completed,0,True,,completed,True,False,product_exited_before_noop,False,False,completed,,2288.8707931041718,True,55,58,58,6,0.10344827586206896,217.6620000000001,"{""patch"": 3, ""terminal"": 54, ""write_file"": 1}","{""terminal"": 6}",140535,2052864,0,2193399,9245,1529,2202644,0.9359282100520698,unknown,,task_requirement_failure,Verifier 2/3；产物未通过 POV-Ray 2.2 正确源码真实性检查,保留任务零分,3,2,1,0,test_outputs.py::test_povray_built_from_correct_source
