task_id,astra_reward,hermes_reward,reward_transition,astra_strict_e2e,hermes_strict_e2e,astra_outcome_category,hermes_outcome_category,astra_product_status,hermes_product_status,astra_e2e_s,hermes_e2e_s,astra_agent_s,hermes_agent_s,astra_fresh_input_tokens,hermes_fresh_input_tokens,astra_cache_tokens,hermes_cache_tokens,astra_input_tokens,hermes_input_tokens,astra_output_tokens,hermes_output_tokens,astra_total_tokens,hermes_total_tokens,astra_rounds,hermes_api_calls,astra_tool_calls,hermes_tool_calls,astra_failed_tools,hermes_failed_tools,astra_verifier,hermes_verifier,hermes_failure_reason,hermes_trial_path,astra_trial_path
bn-fit-modify,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,607.567288,351.329184,528.720806,292.472715,22989.0,23577,109632.0,231808,132621.0,255385,20757.0,5411,153378.0,260796,11.0,13,10.0,12,1.0,3,9/9,9/9,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__14-15-09/bn-fit-modify__6YxAGqr,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/bn-fit-modify__JvHn3xU
break-filter-js-from-html,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,408.125461,688.590159,351.950165,639.108818,21719.0,19266,102784.0,270336,124503.0,289602,20624.0,45809,145127.0,335411,10.0,15,10.0,17,1.0,4,1/1,1/1,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__13-38-01/break-filter-js-from-html__MhrC9uW,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/break-filter-js-from-html__pcDUN5g
build-cython-ext,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,1138.804158,1386.773332,1108.482934,1355.746645,111675.0,206090,1121344.0,3839360,1233019.0,4045450,56799.0,18195,1289818.0,4063645,42.0,80,62.0,132,1.0,10,11/11,11/11,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__14-23-53/build-cython-ext__6BZKneV,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-cython-ext__3aBh2uV
build-pmars,0,1,0->1,False,True,task_requirement_failure,clean_verifier_pass,completed,completed,1516.541031,328.69933,1483.525082,295.397617,150399.0,19556,1111104.0,993344,1261503.0,1012900,75234.0,4845,1336737.0,1017745,52.0,41,85.0,38,5.0,2,3/4,4/4,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__13-52-02/build-pmars__d5SRCdf,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/build-pmars__FWjWrmH
caffe-cifar-10,1,0,1->0,False,False,abnormal_verifier_pass,task_requirement_failure,failed,completed,4203.428654,4072.422414,4116.922111,4029.988712,117257.0,24997,1017728.0,2401344,1134985.0,2426341,31036.0,6896,1166021.0,2433237,50.0,90,74.0,90,3.0,6,6/6,3/6,Verifier 3/6；训练模型与 training_output.txt 等交付物缺失,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__17-41-21/caffe-cifar-10__MyMkUd9,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/caffe-cifar-10__LEZu2cC
chess-best-move,0,1,0->1,False,True,recoverable_stream_failure,clean_verifier_pass,failed,completed,903.80714,913.077022,841.190291,855.440141,13221.0,45612,60672.0,253888,73893.0,299500,6143.0,21337,80036.0,320837,8.0,15,8.0,14,0.0,1,0/1,1/1,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__15-02-59/chess-best-move__oL3Bfm6,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/chess-best-move__FRDxL33
cobol-modernization,1,1,1->1,True,True,clean_verifier_pass,clean_verifier_pass,completed,completed,731.015432,1075.515577,693.52908,1039.270567,78338.0,85079,117056.0,1459648,195394.0,1544727,48618.0,28783,244012.0,1573510,13.0,54,15.0,58,0.0,6,3/3,3/3,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__15-21-33/cobol-modernization__WBMseXk,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/cobol-modernization__T6KxTP5
code-from-image,0,1,0->1,False,True,recoverable_stream_failure,clean_verifier_pass,failed,completed,4531.481776,177.254757,4500.240938,142.097405,78719.0,17078,292992.0,64960,371711.0,82038,111965.0,1043,483676.0,83081,26.0,5,34.0,4,1.0,1,0/2,2/2,功能通过且 Agent 正常完成,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__15-42-47/code-from-image__FSsBtAW,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/code-from-image__gvGTG56
compile-compcert,1,0,1->0,True,False,clean_verifier_pass,agent_deadline_zero,completed,timeout,2775.66104,4855.383663,2644.077092,4813.838418,101581.0,57167,533376.0,506048,634957.0,563215,23973.0,1785,658930.0,565000,38.0,31,54.0,31,3.0,5,3/3,0/3,Hermes 超过 driver deadline；/tmp/CompCert/ccomp 未生成，Verifier 0/3,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__19-01-52/compile-compcert__THECWzy,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/compile-compcert__gN7hvuQ
configure-git-webserver,1,0,1->0,False,False,abnormal_verifier_pass,background_lifecycle_failure,adapter_infra_error,completed,1116.202064,199.840253,1046.055571,149.853783,37410.0,7016,219904.0,324416,257314.0,331432,51744.0,2106,309058.0,333538,21.0,19,28.0,18,6.0,1,1/1,0/1,Agent 内服务可用，但 gateway 收尾后 HTTP 返回 000；后台服务未持久化到 Verifier,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__20-30-38/configure-git-webserver__VuHrDDN,/Users/chenyuwei/Documents/MOI benchmark/work/astra-c0-all-jobs/2026-07-29__19-36-33/configure-git-webserver__V4BBS6c
