task_id,attempt_count_for_task,selected_run_dir,selected_trial_name,selected_trial_path,selected_finished_at,reward,verify_status,normal_e2e_pass,outcome_bucket,timeout,product_terminal_status,product_return_code,product_completion_claim,run_status,run_error,trajectory_capture_status,trajectory_terminal_event,trajectory_terminal_event_count,trajectory_capture_error,e2e_s,environment_setup_s,agent_setup_s,agent_execution_s,verifier_s,run_duration_s,tool_calls,tool_calls_failed,tool_call_failure_rate,tool_duration_s,tool_breakdown,failed_tool_breakdown,session_api_calls,session_messages,message_delta_count,model_activity_observed,gateway_response_truncated_count,gateway_balance_error_line_count,token_input,token_output,token_total,token_source,token_accounting_status,token_sources_consistent,cost_usd,verifier_tests,verifier_passed,verifier_failed,verifier_skipped,failed_test_names
build-pov-ray,1,2026-07-30__16-55-07,build-pov-ray__XX7Q3Gy,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__16-55-07/build-pov-ray__XX7Q3Gy,2026-07-30T09:34:25.890827Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,2357.734403,1.176961,13.566057,2292.506948,36.783792,2288.8707931041718,58,6,0.10344827586206896,217.6620000000001,"{""patch"": 3, ""terminal"": 54, ""write_file"": 1}","{""terminal"": 6}",55,114,1079,True,0,0,2193399,9245,2202644,hermes-run.json.usage,reported,True,,3,2,1,0,test_outputs.py::test_povray_built_from_correct_source
caffe-cifar-10,1,2026-07-30__17-41-21,caffe-cifar-10__MyMkUd9,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__17-41-21/caffe-cifar-10__MyMkUd9,2026-07-30T10:49:14.457726Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,4072.422414,1.239566,6.144441,4029.988712,15.38807,4026.4761703014374,90,6,0.06666666666666667,3551.007000000001,"{""patch"": 5, ""process"": 20, ""terminal"": 59, ""todo"": 5, ""write_file"": 1}","{""terminal"": 6}",90,183,1100,True,0,0,2426341,6896,2433237,hermes-run.json.usage,reported,True,,6,3,3,0,test_outputs.py::test_cifar10_model_exists; test_outputs.py::test_training_completed_500_iterations; test_outputs.py::test_model_accuracy_verification
cancel-async-tasks,1,2026-07-31__17-23-05,cancel-async-tasks__Y5HDrz8,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__17-23-05/cancel-async-tasks__Y5HDrz8,2026-07-31T09:29:23.086805Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,376.341899,2.344267,6.440581,331.240556,23.655947,327.78657054901123,7,2,0.2857142857142857,36.38999999999999,"{""terminal"": 5, ""write_file"": 2}","{""terminal"": 2}",8,16,378,True,0,0,138345,17152,155497,hermes-run.json.usage,reported,True,,6,5,1,0,test_outputs.py::test_tasks_cancel_above_max_concurrent
circuit-fibsqrt,1,2026-07-31__17-32-25,circuit-fibsqrt__RUV5FPD,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__17-32-25/circuit-fibsqrt__RUV5FPD,2026-07-31T10:09:34.925683Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,2228.20987,4.841852,8.014783,2173.147666,29.314836,2169.0208661556244,2,0,0.0,1.733,"{""read_file"": 2}",{},1,11,20,True,4,0,15738,177,15915,hermes-run.json.usage,reported,True,,3,2,1,0,test_outputs.py::test_sqrt_fib
compile-compcert,1,2026-07-30__19-01-52,compile-compcert__THECWzy,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__19-01-52/compile-compcert__THECWzy,2026-07-30T12:22:49.060696Z,0,no_pass,False,timeout_no_pass,True,timeout,124,False,timed_out,ProductDeadlineExpired: Hermes run exceeded its driver deadline,failed,,0,RuntimeError: Hermes run event stream must contain exactly one terminal event,4855.383663,1.601795,6.721899,4813.838418,13.181647,4810.222845077515,31,5,0.16129032258064516,4583.919,"{""process"": 14, ""terminal"": 17}","{""terminal"": 5}",31,65,113,True,0,0,,,,missing,missing_after_model_activity,,,3,0,3,0,test_outputs.py::test_compcert_exists_and_executable; test_outputs.py::test_compcert_valid_and_functional; test_outputs.py::test_compcert_rejects_unsupported_feature
configure-git-webserver,1,2026-07-30__20-30-38,configure-git-webserver__VuHrDDN,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__20-30-38/configure-git-webserver__VuHrDDN,2026-07-30T12:33:59.195375Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,199.840253,1.274554,5.020796,149.853783,31.439227,147.3514368534088,18,1,0.05555555555555555,12.917000000000003,"{""terminal"": 11, ""todo"": 6, ""write_file"": 1}","{""terminal"": 1}",19,38,374,True,0,0,331432,2106,333538,hermes-run.json.usage,reported,True,,1,0,1,0,test_outputs.py::test_hello_html_exists
dna-assembly,1,2026-07-30__22-45-12,dna-assembly__uska5na,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__22-45-12/dna-assembly__uska5na,2026-07-30T15:20:24.476893Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,2111.519136,1.232812,5.682738,2054.910714,37.22369,2052.0544426441193,43,12,0.27906976744186046,184.227,"{""execute_code"": 1, ""read_file"": 2, ""terminal"": 39, ""write_file"": 1}","{""execute_code"": 1, ""terminal"": 11}",41,85,932,True,0,0,1760722,152539,1913261,hermes-run.json.usage,reported,True,,1,0,1,0,test_outputs.py::test_primers
dna-insert,1,2026-07-30__23-29-41,dna-insert__3jGZkjs,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__23-29-41/dna-insert__3jGZkjs,2026-07-30T15:42:07.332772Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,744.851331,1.243995,5.236199,711.152302,14.362863,708.3036739826202,34,4,0.11764705882352941,255.919,"{""read_file"": 2, ""terminal"": 32}","{""terminal"": 4}",35,70,440,True,0,0,945569,16254,961823,hermes-run.json.usage,reported,True,,1,0,1,0,test_outputs.py::test_primers
extract-moves-from-video,2,2026-08-03__23-57-09,extract-moves-from-video__AFfPQNS,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-03__23-57-09/extract-moves-from-video__AFfPQNS,2026-08-03T16:57:59.891811Z,0,no_pass,False,timeout_no_pass,True,timeout,124,False,timed_out,ProductDeadlineExpired: Hermes run exceeded its driver deadline,saved,run.timed_out,1,,3649.353876,1.285533,5.062135,3604.450101,26.122262,3601.650806427002,143,7,0.04895104895104895,2619.0960000000014,"{""execute_code"": 1, ""terminal"": 32, ""vision_analyze"": 107, ""write_file"": 3}","{""execute_code"": 1, ""terminal"": 6}",73,218,348,True,0,0,,,,missing,missing_after_model_activity,,,2,1,1,0,test_outputs.py::test_solution_content_similarity
feal-linear-cryptanalysis,1,2026-07-31__01-21-50,feal-linear-cryptanalysis__my336PY,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__01-21-50/feal-linear-cryptanalysis__my336PY,2026-07-30T17:40:56.423279Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,1144.767219,1.267155,5.35748,1117.4618,8.613736,1114.7482109069824,3,0,0.0,2.829,"{""read_file"": 3}",{},1,12,16,True,4,0,15618,174,15792,hermes-run.json.usage,reported,True,,1,0,1,0,test_outputs.py::test_attack
