task_id,attempt_count_for_task,selected_run_dir,selected_trial_name,selected_trial_path,selected_finished_at,reward,verify_status,normal_e2e_pass,outcome_bucket,timeout,product_terminal_status,product_return_code,product_completion_claim,run_status,run_error,trajectory_capture_status,trajectory_terminal_event,trajectory_terminal_event_count,trajectory_capture_error,e2e_s,environment_setup_s,agent_setup_s,agent_execution_s,verifier_s,run_duration_s,tool_calls,tool_calls_failed,tool_call_failure_rate,tool_duration_s,tool_breakdown,failed_tool_breakdown,session_api_calls,session_messages,message_delta_count,model_activity_observed,gateway_response_truncated_count,gateway_balance_error_line_count,token_input,token_output,token_total,token_source,token_accounting_status,token_sources_consistent,cost_usd,verifier_tests,verifier_passed,verifier_failed,verifier_skipped,failed_test_names
adaptive-rejection-sampler,2,2026-08-04__02-17-58,adaptive-rejection-sampler__dFTKjCe,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-08-04__02-17-58/adaptive-rejection-sampler__dFTKjCe,2026-08-03T18:37:05.247917Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,1146.578578,1.289348,5.019608,1099.560374,28.05684,1096.8832969665527,13,0,0.0,306.77000000000004,"{""patch"": 2, ""terminal"": 10, ""write_file"": 1}",{},13,27,803,True,0,0,316010,95195,411205,hermes-run.json.usage,reported,True,,9,9,0,0,
bn-fit-modify,1,2026-07-30__14-15-09,bn-fit-modify__6YxAGqr,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__14-15-09/bn-fit-modify__6YxAGqr,2026-07-30T06:21:01.530569Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,351.329184,2.174727,5.779573,292.472715,37.060617,288.9368541240692,12,3,0.25,101.282,"{""execute_code"": 1, ""read_file"": 1, ""terminal"": 10}","{""execute_code"": 1, ""terminal"": 2}",13,26,729,True,0,0,255385,5411,260796,hermes-run.json.usage,reported,True,,9,9,0,0,
break-filter-js-from-html,1,2026-07-30__13-38-01,break-filter-js-from-html__MhrC9uW,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__13-38-01/break-filter-js-from-html__MhrC9uW,2026-07-30T05:49:31.341920Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,688.590159,1.50288,14.125622,639.108818,21.532929,635.8575479984283,17,4,0.23529411764705882,41.121,"{""execute_code"": 2, ""read_file"": 2, ""terminal"": 12, ""write_file"": 1}","{""execute_code"": 2, ""terminal"": 2}",15,33,523,True,0,0,289602,45809,335411,hermes-run.json.usage,reported,True,,1,1,0,0,
build-cython-ext,1,2026-07-30__14-23-53,build-cython-ext__6BZKneV,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__14-23-53/build-cython-ext__6BZKneV,2026-07-30T06:47:01.026197Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,1386.773332,1.7866,6.787053,1355.746645,8.3938,1351.8101344108582,132,10,0.07575757575757576,508.853,"{""execute_code"": 1, ""patch"": 27, ""read_file"": 36, ""search_files"": 23, ""terminal"": 35, ""todo"": 8, ""write_file"": 2}","{""execute_code"": 1, ""search_files"": 1, ""terminal"": 8}",80,213,2404,True,0,0,4045450,18195,4063645,hermes-run.json.usage,reported,True,,11,11,0,0,
build-pmars,1,2026-07-30__13-52-02,build-pmars__d5SRCdf,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__13-52-02/build-pmars__d5SRCdf,2026-07-30T05:57:32.248369Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,328.69933,1.417994,4.96359,295.397617,14.554536,292.74466705322266,38,2,0.05263157894736842,55.098000000000006,"{""patch"": 1, ""read_file"": 2, ""terminal"": 29, ""todo"": 4, ""write_file"": 2}","{""terminal"": 2}",41,80,824,True,0,0,1012900,4845,1017745,hermes-run.json.usage,reported,True,,4,4,0,0,
build-pov-ray,1,2026-07-30__16-55-07,build-pov-ray__XX7Q3Gy,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__16-55-07/build-pov-ray__XX7Q3Gy,2026-07-30T09:34:25.890827Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,2357.734403,1.176961,13.566057,2292.506948,36.783792,2288.8707931041718,58,6,0.10344827586206896,217.6620000000001,"{""patch"": 3, ""terminal"": 54, ""write_file"": 1}","{""terminal"": 6}",55,114,1079,True,0,0,2193399,9245,2202644,hermes-run.json.usage,reported,True,,3,2,1,0,test_outputs.py::test_povray_built_from_correct_source
caffe-cifar-10,1,2026-07-30__17-41-21,caffe-cifar-10__MyMkUd9,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__17-41-21/caffe-cifar-10__MyMkUd9,2026-07-30T10:49:14.457726Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,4072.422414,1.239566,6.144441,4029.988712,15.38807,4026.4761703014374,90,6,0.06666666666666667,3551.007000000001,"{""patch"": 5, ""process"": 20, ""terminal"": 59, ""todo"": 5, ""write_file"": 1}","{""terminal"": 6}",90,183,1100,True,0,0,2426341,6896,2433237,hermes-run.json.usage,reported,True,,6,3,3,0,test_outputs.py::test_cifar10_model_exists; test_outputs.py::test_training_completed_500_iterations; test_outputs.py::test_model_accuracy_verification
cancel-async-tasks,1,2026-07-31__17-23-05,cancel-async-tasks__Y5HDrz8,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__17-23-05/cancel-async-tasks__Y5HDrz8,2026-07-31T09:29:23.086805Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,376.341899,2.344267,6.440581,331.240556,23.655947,327.78657054901123,7,2,0.2857142857142857,36.38999999999999,"{""terminal"": 5, ""write_file"": 2}","{""terminal"": 2}",8,16,378,True,0,0,138345,17152,155497,hermes-run.json.usage,reported,True,,6,5,1,0,test_outputs.py::test_tasks_cancel_above_max_concurrent
chess-best-move,1,2026-07-30__15-02-59,chess-best-move__oL3Bfm6,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__15-02-59/chess-best-move__oL3Bfm6,2026-07-30T07:18:13.625940Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,913.077022,2.267556,8.357412,855.440141,33.778238,850.1946978569031,14,1,0.07142857142857142,258.662,"{""execute_code"": 1, ""terminal"": 5, ""vision_analyze"": 7, ""write_file"": 1}","{""execute_code"": 1}",15,30,328,True,0,0,299500,21337,320837,hermes-run.json.usage,reported,True,,1,1,0,0,
circuit-fibsqrt,1,2026-07-31__17-32-25,circuit-fibsqrt__RUV5FPD,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-31__17-32-25/circuit-fibsqrt__RUV5FPD,2026-07-31T10:09:34.925683Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,2228.20987,4.841852,8.014783,2173.147666,29.314836,2169.0208661556244,2,0,0.0,1.733,"{""read_file"": 2}",{},1,11,20,True,4,0,15738,177,15915,hermes-run.json.usage,reported,True,,3,2,1,0,test_outputs.py::test_sqrt_fib
cobol-modernization,1,2026-07-30__15-21-33,cobol-modernization__WBMseXk,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__15-21-33/cobol-modernization__WBMseXk,2026-07-30T07:39:29.776821Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,1075.515577,2.22096,6.716694,1039.270567,13.880389,1034.7211673259735,58,6,0.10344827586206896,109.01299999999999,"{""patch"": 3, ""read_file"": 4, ""search_files"": 1, ""terminal"": 49, ""write_file"": 1}","{""read_file"": 1, ""terminal"": 5}",54,113,2253,True,0,0,1544727,28783,1573510,hermes-run.json.usage,reported,True,,3,3,0,0,
code-from-image,1,2026-07-30__15-42-47,code-from-image__FSsBtAW,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__15-42-47/code-from-image__FSsBtAW,2026-07-30T07:45:45.194414Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,177.254757,2.246257,6.529455,142.097405,13.030702,137.4888632297516,4,1,0.25,56.672,"{""execute_code"": 1, ""read_file"": 1, ""terminal"": 1, ""vision_analyze"": 1}","{""execute_code"": 1}",5,10,216,True,0,0,82038,1043,83081,hermes-run.json.usage,reported,True,,2,2,0,0,
compile-compcert,1,2026-07-30__19-01-52,compile-compcert__THECWzy,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__19-01-52/compile-compcert__THECWzy,2026-07-30T12:22:49.060696Z,0,no_pass,False,timeout_no_pass,True,timeout,124,False,timed_out,ProductDeadlineExpired: Hermes run exceeded its driver deadline,failed,,0,RuntimeError: Hermes run event stream must contain exactly one terminal event,4855.383663,1.601795,6.721899,4813.838418,13.181647,4810.222845077515,31,5,0.16129032258064516,4583.919,"{""process"": 14, ""terminal"": 17}","{""terminal"": 5}",31,65,113,True,0,0,,,,missing,missing_after_model_activity,,,3,0,3,0,test_outputs.py::test_compcert_exists_and_executable; test_outputs.py::test_compcert_valid_and_functional; test_outputs.py::test_compcert_rejects_unsupported_feature
configure-git-webserver,1,2026-07-30__20-30-38,configure-git-webserver__VuHrDDN,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__20-30-38/configure-git-webserver__VuHrDDN,2026-07-30T12:33:59.195375Z,0,no_pass,False,completed_no_pass,False,completed,0,True,completed,,saved,run.completed,1,,199.840253,1.274554,5.020796,149.853783,31.439227,147.3514368534088,18,1,0.05555555555555555,12.917000000000003,"{""terminal"": 11, ""todo"": 6, ""write_file"": 1}","{""terminal"": 1}",19,38,374,True,0,0,331432,2106,333538,hermes-run.json.usage,reported,True,,1,0,1,0,test_outputs.py::test_hello_html_exists
constraints-scheduling,1,2026-07-30__20-41-17,constraints-scheduling__cX4gLS6,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__20-41-17/constraints-scheduling__cX4gLS6,2026-07-30T12:46:06.172995Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,288.10263,1.45743,12.423033,232.202714,29.818685,229.6567976474762,8,1,0.125,10.193,"{""execute_code"": 1, ""read_file"": 4, ""terminal"": 2, ""write_file"": 1}","{""execute_code"": 1}",6,15,569,True,0,0,122489,12755,135244,hermes-run.json.usage,reported,True,,3,3,0,0,
count-dataset-tokens,1,2026-07-30__20-48-04,count-dataset-tokens__hSzRjmb,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__20-48-04/count-dataset-tokens__hSzRjmb,2026-07-30T13:01:36.125593Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,811.222634,1.143432,4.94288,783.782245,8.847043,780.5511901378632,24,2,0.08333333333333333,375.5529999999999,"{""read_file"": 1, ""skill_view"": 1, ""terminal"": 21, ""write_file"": 1}","{""terminal"": 2}",25,50,856,True,0,0,595439,17932,613371,hermes-run.json.usage,reported,True,,1,1,0,0,
crack-7z-hash,1,2026-07-30__21-08-33,crack-7z-hash__hexw2DN,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__21-08-33/crack-7z-hash__hexw2DN,2026-07-30T13:30:04.547190Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,1290.480298,1.188837,5.269881,1258.606826,13.137839,1255.8618605136871,37,7,0.1891891891891892,1040.203,"{""search_files"": 1, ""terminal"": 35, ""write_file"": 1}","{""terminal"": 7}",38,76,433,True,0,0,745381,1935,747316,hermes-run.json.usage,reported,True,,2,2,0,0,
custom-memory-heap-crash,1,2026-07-30__21-37-12,custom-memory-heap-crash__bzdH3jy,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__21-37-12/custom-memory-heap-crash__bzdH3jy,2026-07-30T13:47:18.184798Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,604.616546,1.227586,5.138578,545.286684,40.732833,542.524286031723,39,0,0.0,45.93,"{""read_file"": 3, ""search_files"": 1, ""terminal"": 34, ""write_file"": 1}",{},28,68,783,True,0,0,674537,26244,700781,hermes-run.json.usage,reported,True,,6,6,0,0,
db-wal-recovery,1,2026-07-30__21-54-42,db-wal-recovery__33DeyG7,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__21-54-42/db-wal-recovery__33DeyG7,2026-07-30T14:22:16.612574Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,1653.117967,1.24473,5.159238,1598.077244,36.004524,1594.6711828708649,75,8,0.10666666666666667,302.75000000000006,"{""execute_code"": 1, ""terminal"": 74}","{""execute_code"": 1, ""terminal"": 7}",76,152,649,True,0,0,3347220,64572,3411792,hermes-run.json.usage,reported,True,,7,7,0,0,
distribution-search,1,2026-07-30__22-24-38,distribution-search__vcpnUUq,/Users/chenyuwei/Documents/MOI benchmark/work/hermes-c0-all-jobs/2026-07-30__22-24-38/distribution-search__vcpnUUq,2026-07-30T14:37:03.746305Z,1,pass,True,normal_e2e_pass,False,completed,0,True,completed,,saved,run.completed,1,,745.000423,1.388637,5.489648,705.076699,20.535286,702.2267532348633,3,0,0.0,62.839999999999996,"{""terminal"": 2, ""write_file"": 1}",{},4,8,418,True,0,0,69266,60081,129347,hermes-run.json.usage,reported,True,,4,4,0,0,
