source_root,task_id,task_name,trial_name,batch_path,raw_relative_path,trajectory_kind,trajectory_relative_path,manifest_relative_path,manifest_sha256,session_id,run_id,trajectory_status,product_terminal_status,trajectory_event_count,trajectory_file_count,verifier_reward,started_at,finished_at
astra-c0-all-jobs,adaptive-rejection-sampler,terminal-bench/adaptive-rejection-sampler,adaptive-rejection-sampler__MC6zmSP,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/adaptive-rejection-sampler__MC6zmSP,astra-session-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/adaptive-rejection-sampler__MC6zmSP/agent/astra-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/adaptive-rejection-sampler__MC6zmSP/agent/astra-trajectory/manifest.json,738d7533b1aabe865e39c0cfee226618ce953f87e9111610fa76dfa1319b2713,b7ed7764-df20-48fd-b618-7674e28ffc16,4b7f026a-135c-4011-9768-0898dcb58b69,partial,failed,0,5,0,2026-07-30T03:27:10.417766Z,2026-07-30T03:36:38.893916Z
astra-c0-all-jobs,bn-fit-modify,terminal-bench/bn-fit-modify,bn-fit-modify__JvHn3xU,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/bn-fit-modify__JvHn3xU,astra-session-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/bn-fit-modify__JvHn3xU/agent/astra-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/bn-fit-modify__JvHn3xU/agent/astra-trajectory/manifest.json,a313ff42556548828bcf7702999f607086ce97f7910925a269da9e94adbc0177,dc3ef835-de25-4373-87d1-e56a2d12e3d4,016a4d00-a3b3-4f8c-8d86-eea793fcd456,partial,completed,54,5,1,2026-07-30T06:49:39.622947Z,2026-07-30T06:59:47.190235Z
astra-c0-all-jobs,break-filter-js-from-html,terminal-bench/break-filter-js-from-html,break-filter-js-from-html__pcDUN5g,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/break-filter-js-from-html__pcDUN5g,astra-session-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/break-filter-js-from-html__pcDUN5g/agent/astra-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/break-filter-js-from-html__pcDUN5g/agent/astra-trajectory/manifest.json,f51475001f1f52956f471af5c36fe215cdbca8ef5ea2d55c47e463fcccacc375,aeb17bfa-32a7-4ce9-8653-7d0c1b0be28c,2d6237a0-e78f-4d58-b997-25e4fb855ed1,partial,completed,51,6,1,2026-07-29T16:14:25.594196Z,2026-07-29T16:21:13.719657Z
astra-c0-all-jobs,build-cython-ext,terminal-bench/build-cython-ext,build-cython-ext__3aBh2uV,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/build-cython-ext__3aBh2uV,astra-session-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/build-cython-ext__3aBh2uV/agent/astra-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/build-cython-ext__3aBh2uV/agent/astra-trajectory/manifest.json,a964832e26d2c12b166f0189b3dfadd7eef290ff2e26291ed2df00944bd05a4d,863c6cc1-fe5b-43e0-a5e1-b5a2e3a02fb4,5cfdd91c-0e15-4723-9544-515ad90113cf,partial,completed,251,7,1,2026-07-30T10:15:52.741725Z,2026-07-30T10:34:51.545883Z
astra-c0-all-jobs,build-pmars,terminal-bench/build-pmars,build-pmars__FWjWrmH,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/build-pmars__FWjWrmH,astra-session-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/build-pmars__FWjWrmH/agent/astra-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/build-pmars__FWjWrmH/agent/astra-trajectory/manifest.json,85060b84cac9496769b36ed5472df7fb64225e5eac3145637332117c0109c3f1,89d608ed-000a-4f11-9596-ccca5bf139ad,e741c749-a484-4aa0-b628-b3a551075e3b,partial,completed,327,7,0,2026-07-30T08:04:52.787967Z,2026-07-30T08:30:09.328998Z
astra-c0-all-jobs,build-pov-ray,terminal-bench/build-pov-ray,build-pov-ray__mNkofzU,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/build-pov-ray__mNkofzU,astra-session-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/build-pov-ray__mNkofzU/agent/astra-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/build-pov-ray__mNkofzU/agent/astra-trajectory/manifest.json,,,,,,,,,2026-07-30T08:30:41.377681Z,2026-07-30T08:30:47.361917Z
astra-c0-all-jobs,caffe-cifar-10,terminal-bench/caffe-cifar-10,caffe-cifar-10__LEZu2cC,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/caffe-cifar-10__LEZu2cC,astra-session-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/caffe-cifar-10__LEZu2cC/agent/astra-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/caffe-cifar-10__LEZu2cC/agent/astra-trajectory/manifest.json,abb67e35f6ff721a584eb876196deab52b46b06f84f54a1632ac9130d93a9f9a,df0fb7b5-4fdf-4609-8590-9dc4714e2a58,48ac4b5a-129f-4c23-8a5e-7ed637bfdaad,complete,failed,298,12,1,2026-07-30T11:33:04.265755Z,2026-07-30T12:43:07.694409Z
astra-c0-all-jobs,cancel-async-tasks,terminal-bench/cancel-async-tasks,cancel-async-tasks__pxSVYRg,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/cancel-async-tasks__pxSVYRg,astra-session-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/cancel-async-tasks__pxSVYRg/agent/astra-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/cancel-async-tasks__pxSVYRg/agent/astra-trajectory/manifest.json,,,,,,,,,2026-07-29T16:28:32.522314Z,2026-07-29T16:28:38.281655Z
astra-c0-all-jobs,chess-best-move,terminal-bench/chess-best-move,chess-best-move__FRDxL33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/chess-best-move__FRDxL33,astra-session-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/chess-best-move__FRDxL33/agent/astra-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/chess-best-move__FRDxL33/agent/astra-trajectory/manifest.json,0df6a928e472165e1f28b6dd95d124e9532b223260ae2f0b1f28c8550f4e2962,fb506ade-e759-4f02-8afc-76ee51038114,4bae0416-0349-4a73-9d06-77b9a736a7b3,complete,failed,37,5,0,2026-07-29T15:54:29.041735Z,2026-07-29T16:09:32.848875Z
astra-c0-all-jobs,circuit-fibsqrt,terminal-bench/circuit-fibsqrt,circuit-fibsqrt__2RALeoK,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/circuit-fibsqrt__2RALeoK,astra-session-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/circuit-fibsqrt__2RALeoK/agent/astra-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/circuit-fibsqrt__2RALeoK/agent/astra-trajectory/manifest.json,,,,,,,,,2026-07-30T08:30:53.427770Z,2026-07-30T08:30:59.387306Z
astra-c0-all-jobs,cobol-modernization,terminal-bench/cobol-modernization,cobol-modernization__T6KxTP5,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/cobol-modernization__T6KxTP5,astra-session-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/cobol-modernization__T6KxTP5/agent/astra-trajectory,astra/runs/astra-c0-all-jobs/2026-07-29__19-36-33/cobol-modernization__T6KxTP5/agent/astra-trajectory/manifest.json,43bb29ed9c200c092d7cf26d047cf6289c83b418032c703dfd2b330234e367db,ea720838-ca07-4f1e-b41a-260161e59f5c,e4f494f8-b105-4734-850c-0fce0e84e689,partial,completed,70,6,1,2026-07-30T01:25:05.520840Z,2026-07-30T01:37:16.536272Z
