source_root,task_id,task_name,trial_name,batch_path,raw_relative_path,trajectory_kind,trajectory_relative_path,manifest_relative_path,manifest_sha256,session_id,run_id,trajectory_status,product_terminal_status,trajectory_event_count,trajectory_file_count,verifier_reward,started_at,finished_at
hermes-c0-all-jobs,adaptive-rejection-sampler,terminal-bench/adaptive-rejection-sampler,adaptive-rejection-sampler__RUDgwZK,astra/runs/hermes-c0-all-jobs/2026-07-30__12-02-21,astra/runs/hermes-c0-all-jobs/2026-07-30__12-02-21/adaptive-rejection-sampler__RUDgwZK,hermes-driver-session,astra/runs/hermes-c0-all-jobs/2026-07-30__12-02-21/adaptive-rejection-sampler__RUDgwZK/agent/hermes-run.json,astra/runs/hermes-c0-all-jobs/2026-07-30__12-02-21/adaptive-rejection-sampler__RUDgwZK/artifacts/manifest.json,c1db653f487fb773c4f9247162ab3314e7f0584a486914b9874c4b3d6949e42d,b52c47c8-61c3-40f4-8001-ab10244a2cbc,run_cda2a151117343998683963bf1ca40d8,driver-recorded,failed,3,,0,2026-07-30T04:02:22.484282Z,2026-07-30T05:35:24.969610Z
hermes-c0-all-jobs,break-filter-js-from-html,terminal-bench/break-filter-js-from-html,break-filter-js-from-html__MhrC9uW,astra/runs/hermes-c0-all-jobs/2026-07-30__13-38-01,astra/runs/hermes-c0-all-jobs/2026-07-30__13-38-01/break-filter-js-from-html__MhrC9uW,hermes-driver-session,astra/runs/hermes-c0-all-jobs/2026-07-30__13-38-01/break-filter-js-from-html__MhrC9uW/agent/hermes-run.json,astra/runs/hermes-c0-all-jobs/2026-07-30__13-38-01/break-filter-js-from-html__MhrC9uW/artifacts/manifest.json,c1db653f487fb773c4f9247162ab3314e7f0584a486914b9874c4b3d6949e42d,40e5ff7c-9d0d-4e21-b30e-71d3a2244620,run_e5d00620211744aebf8fb15f4ff30132,driver-recorded,completed,568,,1,2026-07-30T05:38:02.751761Z,2026-07-30T05:49:31.341920Z
hermes-c0-all-jobs,build-pmars,terminal-bench/build-pmars,build-pmars__d5SRCdf,astra/runs/hermes-c0-all-jobs/2026-07-30__13-52-02,astra/runs/hermes-c0-all-jobs/2026-07-30__13-52-02/build-pmars__d5SRCdf,hermes-driver-session,astra/runs/hermes-c0-all-jobs/2026-07-30__13-52-02/build-pmars__d5SRCdf/agent/hermes-run.json,astra/runs/hermes-c0-all-jobs/2026-07-30__13-52-02/build-pmars__d5SRCdf/artifacts/manifest.json,c1db653f487fb773c4f9247162ab3314e7f0584a486914b9874c4b3d6949e42d,402466cc-41a6-4136-9d75-da560209c0a9,run_9cb5367c75ae4ba1894d4fa0cc25bad9,driver-recorded,completed,918,,1,2026-07-30T05:52:03.549039Z,2026-07-30T05:57:32.248369Z
hermes-c0-all-jobs,bn-fit-modify,terminal-bench/bn-fit-modify,bn-fit-modify__6YxAGqr,astra/runs/hermes-c0-all-jobs/2026-07-30__14-15-09,astra/runs/hermes-c0-all-jobs/2026-07-30__14-15-09/bn-fit-modify__6YxAGqr,hermes-driver-session,astra/runs/hermes-c0-all-jobs/2026-07-30__14-15-09/bn-fit-modify__6YxAGqr/agent/hermes-run.json,astra/runs/hermes-c0-all-jobs/2026-07-30__14-15-09/bn-fit-modify__6YxAGqr/artifacts/manifest.json,c1db653f487fb773c4f9247162ab3314e7f0584a486914b9874c4b3d6949e42d,48da25e5-5ecb-4986-b1bb-6b9a05e66c9a,run_d35e0476b6124c298cf0d0e4fb8154ed,driver-recorded,completed,764,,1,2026-07-30T06:15:10.201385Z,2026-07-30T06:21:01.530569Z
hermes-c0-all-jobs,build-cython-ext,terminal-bench/build-cython-ext,build-cython-ext__6BZKneV,astra/runs/hermes-c0-all-jobs/2026-07-30__14-23-53,astra/runs/hermes-c0-all-jobs/2026-07-30__14-23-53/build-cython-ext__6BZKneV,hermes-driver-session,astra/runs/hermes-c0-all-jobs/2026-07-30__14-23-53/build-cython-ext__6BZKneV/agent/hermes-run.json,astra/runs/hermes-c0-all-jobs/2026-07-30__14-23-53/build-cython-ext__6BZKneV/artifacts/manifest.json,c1db653f487fb773c4f9247162ab3314e7f0584a486914b9874c4b3d6949e42d,a8db31a6-731c-4fdf-ab56-29468cb19c67,run_88087c4c2425461db2d8c91b06ac7997,driver-recorded,completed,2710,,1,2026-07-30T06:23:54.252865Z,2026-07-30T06:47:01.026197Z
hermes-c0-all-jobs,chess-best-move,terminal-bench/chess-best-move,chess-best-move__oL3Bfm6,astra/runs/hermes-c0-all-jobs/2026-07-30__15-02-59,astra/runs/hermes-c0-all-jobs/2026-07-30__15-02-59/chess-best-move__oL3Bfm6,hermes-driver-session,astra/runs/hermes-c0-all-jobs/2026-07-30__15-02-59/chess-best-move__oL3Bfm6/agent/hermes-run.json,astra/runs/hermes-c0-all-jobs/2026-07-30__15-02-59/chess-best-move__oL3Bfm6/artifacts/manifest.json,c1db653f487fb773c4f9247162ab3314e7f0584a486914b9874c4b3d6949e42d,700e2f16-5b24-4cd5-b5fb-5e67e769928c,run_6ce9c41fec8943a4aa38ca4a5b407613,driver-recorded,completed,365,,1,2026-07-30T07:03:00.548918Z,2026-07-30T07:18:13.625940Z
hermes-c0-all-jobs,cobol-modernization,terminal-bench/cobol-modernization,cobol-modernization__WBMseXk,astra/runs/hermes-c0-all-jobs/2026-07-30__15-21-33,astra/runs/hermes-c0-all-jobs/2026-07-30__15-21-33/cobol-modernization__WBMseXk,hermes-driver-session,astra/runs/hermes-c0-all-jobs/2026-07-30__15-21-33/cobol-modernization__WBMseXk/agent/hermes-run.json,astra/runs/hermes-c0-all-jobs/2026-07-30__15-21-33/cobol-modernization__WBMseXk/artifacts/manifest.json,c1db653f487fb773c4f9247162ab3314e7f0584a486914b9874c4b3d6949e42d,80e3f5bf-c192-469a-9142-37019e27869c,run_7db4b7103eae41f5ad90c1d9b58629dc,driver-recorded,completed,2411,,1,2026-07-30T07:21:34.261244Z,2026-07-30T07:39:29.776821Z
hermes-c0-all-jobs,code-from-image,terminal-bench/code-from-image,code-from-image__FSsBtAW,astra/runs/hermes-c0-all-jobs/2026-07-30__15-42-47,astra/runs/hermes-c0-all-jobs/2026-07-30__15-42-47/code-from-image__FSsBtAW,hermes-driver-session,astra/runs/hermes-c0-all-jobs/2026-07-30__15-42-47/code-from-image__FSsBtAW/agent/hermes-run.json,astra/runs/hermes-c0-all-jobs/2026-07-30__15-42-47/code-from-image__FSsBtAW/artifacts/manifest.json,c1db653f487fb773c4f9247162ab3314e7f0584a486914b9874c4b3d6949e42d,69cf48a1-862b-47d3-a3ea-8f2d7b64bc5c,run_eba74586632e436281f547c96539ce28,driver-recorded,completed,230,,1,2026-07-30T07:42:47.939657Z,2026-07-30T07:45:45.194414Z
hermes-c0-all-jobs,winning-avg-corewars,terminal-bench/winning-avg-corewars,winning-avg-corewars__8cG97ch,astra/runs/hermes-c0-all-jobs/2026-07-30__16-10-28,astra/runs/hermes-c0-all-jobs/2026-07-30__16-10-28/winning-avg-corewars__8cG97ch,hermes-driver-session,astra/runs/hermes-c0-all-jobs/2026-07-30__16-10-28/winning-avg-corewars__8cG97ch/agent/hermes-run.json,astra/runs/hermes-c0-all-jobs/2026-07-30__16-10-28/winning-avg-corewars__8cG97ch/artifacts/manifest.json,c1db653f487fb773c4f9247162ab3314e7f0584a486914b9874c4b3d6949e42d,a3c96296-3b00-49a4-b872-570f678217f4,run_ac15adc5b70c4b37b15af4a20bd19173,driver-recorded,completed,234,,0,2026-07-30T08:10:30.266916Z,2026-07-30T08:21:56.771351Z
hermes-c0-all-jobs,build-pov-ray,terminal-bench/build-pov-ray,build-pov-ray__XX7Q3Gy,astra/runs/hermes-c0-all-jobs/2026-07-30__16-55-07,astra/runs/hermes-c0-all-jobs/2026-07-30__16-55-07/build-pov-ray__XX7Q3Gy,hermes-driver-session,astra/runs/hermes-c0-all-jobs/2026-07-30__16-55-07/build-pov-ray__XX7Q3Gy/agent/hermes-run.json,astra/runs/hermes-c0-all-jobs/2026-07-30__16-55-07/build-pov-ray__XX7Q3Gy/artifacts/manifest.json,c1db653f487fb773c4f9247162ab3314e7f0584a486914b9874c4b3d6949e42d,74d61f92-aff7-4353-ae38-32eb92ae6369,run_95c81349bfc849f6856d4236da3cee37,driver-recorded,completed,1219,,0,2026-07-30T08:55:08.156424Z,2026-07-30T09:34:25.890827Z
