dataset,system,field,normalized_tp,normalized_fp,normalized_fn,normalized_precision,normalized_recall,normalized_f1,normalized_field_accuracy,strict_tp,strict_fp,strict_fn,strict_precision,strict_recall,strict_f1,strict_field_accuracy
sroie,moi,company,77,21,23,0.7857142857142857,0.77,0.7777777777777778,0.77,56,42,44,0.5714285714285714,0.56,0.5656565656565656,0.56
sroie,moi,date,88,10,12,0.8979591836734694,0.88,0.888888888888889,0.88,67,31,33,0.6836734693877551,0.67,0.6767676767676768,0.67
sroie,moi,address,64,35,36,0.6464646464646465,0.64,0.6432160804020101,0.64,14,85,86,0.1414141414141414,0.14,0.1407035175879397,0.14
sroie,moi,total,86,12,14,0.8775510204081632,0.86,0.8686868686868686,0.86,75,23,25,0.7653061224489796,0.75,0.7575757575757575,0.75
sroie,landingai,company,83,17,17,0.83,0.83,0.83,0.83,71,29,29,0.71,0.71,0.7100000000000001,0.71
sroie,landingai,date,97,3,3,0.97,0.97,0.97,0.97,85,15,15,0.85,0.85,0.85,0.85
sroie,landingai,address,86,14,14,0.86,0.86,0.8599999999999999,0.86,36,64,64,0.36,0.36,0.36,0.36
sroie,landingai,total,94,5,6,0.9494949494949495,0.94,0.9447236180904524,0.94,85,14,15,0.8585858585858586,0.85,0.8542713567839195,0.85
vrdu,moi,file_date,64,10,31,0.8648648648648649,0.6736842105263158,0.7573964497041421,0.6804123711340206,57,17,38,0.7702702702702703,0.6,0.6745562130177515,0.6082474226804123
vrdu,moi,foreign_principle_name,32,40,25,0.4444444444444444,0.5614035087719298,0.49612403100775193,0.5670103092783505,29,43,28,0.4027777777777778,0.5087719298245614,0.4496124031007752,0.5360824742268041
vrdu,moi,registrant_name,59,37,36,0.6145833333333334,0.6210526315789474,0.6178010471204188,0.6185567010309279,53,43,42,0.5520833333333334,0.5578947368421052,0.5549738219895287,0.5567010309278351
vrdu,moi,registration_num,70,9,25,0.8860759493670886,0.7368421052631579,0.8045977011494253,0.7319587628865979,68,11,27,0.8607594936708861,0.7157894736842105,0.7816091954022988,0.711340206185567
vrdu,moi,signer_name,48,18,23,0.7272727272727273,0.676056338028169,0.7007299270072992,0.7216494845360825,47,19,24,0.7121212121212122,0.6619718309859155,0.6861313868613139,0.711340206185567
vrdu,moi,signer_title,20,10,5,0.6666666666666666,0.8,0.7272727272727272,0.8762886597938144,20,10,5,0.6666666666666666,0.8,0.7272727272727272,0.8762886597938144
vrdu,landingai,file_date,39,57,56,0.40625,0.4105263157894737,0.4083769633507854,0.4020618556701031,14,82,81,0.14583333333333334,0.14736842105263157,0.14659685863874347,0.14432989690721648
vrdu,landingai,foreign_principle_name,33,43,24,0.4342105263157895,0.5789473684210527,0.49624060150375954,0.5567010309278351,31,45,26,0.40789473684210525,0.543859649122807,0.46616541353383467,0.5360824742268041
vrdu,landingai,registrant_name,88,8,7,0.9166666666666666,0.9263157894736842,0.9214659685863874,0.9175257731958762,82,14,13,0.8541666666666666,0.8631578947368421,0.8586387434554975,0.8556701030927835
vrdu,landingai,registration_num,94,2,1,0.9791666666666666,0.9894736842105263,0.9842931937172775,0.979381443298969,92,4,3,0.9583333333333334,0.968421052631579,0.9633507853403142,0.9587628865979382
vrdu,landingai,signer_name,58,31,13,0.651685393258427,0.8169014084507042,0.725,0.6701030927835051,58,31,13,0.651685393258427,0.8169014084507042,0.725,0.6701030927835051
vrdu,landingai,signer_title,22,31,3,0.41509433962264153,0.88,0.5641025641025641,0.6701030927835051,22,31,3,0.41509433962264153,0.88,0.5641025641025641,0.6701030927835051
kleister,moi,effective_date,52,8,19,0.8666666666666667,0.7323943661971831,0.7938931297709925,0.77,52,8,19,0.8666666666666667,0.7323943661971831,0.7938931297709925,0.77
kleister,moi,jurisdiction,27,68,68,0.28421052631578947,0.28421052631578947,0.28421052631578947,0.31,22,73,73,0.23157894736842105,0.23157894736842105,0.23157894736842105,0.26
kleister,moi,party,89,170,104,0.3436293436293436,0.46113989637305697,0.3938053097345133,0.16,0,259,193,0.0,0.0,0.0,0.0
kleister,moi,term,32,31,7,0.5079365079365079,0.8205128205128205,0.6274509803921569,0.67,32,31,7,0.5079365079365079,0.8205128205128205,0.6274509803921569,0.67
kleister,landingai,effective_date,65,10,6,0.8666666666666667,0.9154929577464789,0.8904109589041095,0.89,65,10,6,0.8666666666666667,0.9154929577464789,0.8904109589041095,0.89
kleister,landingai,jurisdiction,19,74,76,0.20430107526881722,0.2,0.2021276595744681,0.24,17,76,78,0.1827956989247312,0.17894736842105263,0.18085106382978722,0.22
kleister,landingai,party,95,145,98,0.3958333333333333,0.49222797927461137,0.43879907621247116,0.19,0,240,193,0.0,0.0,0.0,0.0
kleister,landingai,term,28,21,11,0.5714285714285714,0.717948717948718,0.6363636363636365,0.75,28,21,11,0.5714285714285714,0.717948717948718,0.6363636363636365,0.75
